week_start,week_end,total_revenue,accidents,weigh_station_infractions,on_road_costs
2025-06-01,2025-06-07,98615.55,0,0,57984.84
2025-06-08,2025-06-14,93729.2,0,0,58334.95
2025-06-15,2025-06-21,92988.15,0,0,66273.28
2025-06-22,2025-06-28,99887.82,0,0,59826.15
2025-06-29,2025-07-05,102940.38,0,0,62887.04
2025-07-06,2025-07-12,104729.44,0,0,63220.87
2025-07-13,2025-07-19,96845.77,0,0,59106.4
2025-07-20,2025-07-26,103845.16,0,0,58417.83
2025-07-27,2025-08-02,99974.47,0,0,61196.29
2025-08-03,2025-08-09,103925.93,0,0,54666.96
2025-08-10,2025-08-16,103573.73,0,0,59298.83
2025-08-17,2025-08-23,103537.29,0,0,62330.8
2025-08-24,2025-08-30,108039.58,0,0,64060.36
2025-08-31,2025-08-31,106732.86,0,0,64331.01
