week_start,week_end,total_revenue,accidents,weigh_station_infractions,on_road_costs
2025-06-01,2025-06-07,84544.3,0,0,80891.79
2025-06-08,2025-06-14,80100.24,0,0,69104.79
2025-06-15,2025-06-21,76193.86,1,0,73516.55
2025-06-22,2025-06-28,68427.66,0,0,71415.08
2025-06-29,2025-07-05,94198.52,0,2,66205.01
2025-07-06,2025-07-12,79116.55,0,0,72748.95
2025-07-13,2025-07-19,81655.12,0,2,69821.57
2025-07-20,2025-07-26,86354.14,0,0,75239.46
2025-07-27,2025-08-02,89146.31,1,0,70397.26
2025-08-03,2025-08-09,87876.93,0,1,72109.15
2025-08-10,2025-08-16,85239.9,0,0,63276.52
2025-08-17,2025-08-23,87168.09,0,1,71903.01
2025-08-24,2025-08-30,90796.07,1,0,72806.15
2025-08-31,2025-08-31,82301.55,0,1,61714.49
