date,driver_id,hours_sleep,sleep_quality,start_mood,end_mood
2025-06-01,D001,6.8,"Not sure, felt half rested half tired.",Fine,Content
2025-06-01,D002,7.5,"Sleep was okay, nothing special.",Neutral,Stressed
2025-06-01,D003,8.2,"Sleep was okay, nothing special.",Indifferent,Anxious
2025-06-01,D004,7.5,"Sleep was okay, nothing special.",Indifferent,Anxious
2025-06-02,D001,4.7,"Not sure, felt half rested half tired.",Neutral,Fine
2025-06-02,D002,5.2,"Some dreams and wake-ups, neutral overall.",Meh,Indifferent
2025-06-02,D003,5.9,"Not sure, felt half rested half tired.",Meh,Motivated
2025-06-02,D004,6.5,"Average sleep, can't complain.",Indifferent,Tired
2025-06-03,D001,7.0,"Not sure, felt half rested half tired.",Meh,Content
2025-06-03,D002,5.8,"Some dreams and wake-ups, neutral overall.",Fine,Tired
2025-06-03,D003,6.7,"Not sure, felt half rested half tired.",Indifferent,Irritable
2025-06-03,D004,5.7,"Sleep was okay, nothing special.",Indifferent,Tired
2025-06-04,D001,5.9,"Some dreams and wake-ups, neutral overall.",Fine,Meh
2025-06-04,D002,5.1,"Some dreams and wake-ups, neutral overall.",Fine,Content
2025-06-04,D003,5.6,"Some dreams and wake-ups, neutral overall.",Indifferent,Happy
2025-06-04,D004,5.1,"Not sure, felt half rested half tired.",Indifferent,Meh
2025-06-05,D001,5.5,"Not sure, felt half rested half tired.",Indifferent,Irritable
2025-06-05,D002,7.6,"Average sleep, can't complain.",Fine,Indifferent
2025-06-05,D003,5.6,"Some dreams and wake-ups, neutral overall.",Indifferent,Stressed
2025-06-05,D004,9.1,"Some dreams and wake-ups, neutral overall.",Fine,Stressed
2025-06-06,D001,7.0,"Some dreams and wake-ups, neutral overall.",Fine,Stressed
2025-06-06,D002,6.7,"Average sleep, can't complain.",Fine,Meh
2025-06-06,D003,5.6,"Some dreams and wake-ups, neutral overall.",Indifferent,Anxious
2025-06-06,D004,7.2,"Average sleep, can't complain.",Fine,Stressed
2025-06-07,D001,5.9,"Sleep was okay, nothing special.",Meh,Meh
2025-06-07,D002,6.6,"Some dreams and wake-ups, neutral overall.",Neutral,Fine
2025-06-07,D003,9.1,"Not sure, felt half rested half tired.",Meh,Irritable
2025-06-07,D004,6.4,"Average sleep, can't complain.",Neutral,Anxious
2025-06-08,D001,7.6,"Not sure, felt half rested half tired.",Meh,Indifferent
2025-06-08,D002,5.8,"Average sleep, can't complain.",Meh,Tired
2025-06-08,D003,6.5,"Some dreams and wake-ups, neutral overall.",Fine,Anxious
2025-06-08,D004,8.3,"Sleep was okay, nothing special.",Fine,Meh
2025-06-09,D001,5.9,"Not sure, felt half rested half tired.",Fine,Neutral
2025-06-09,D002,8.3,"Not sure, felt half rested half tired.",Neutral,Stressed
