date,driver_id,hours_sleep,sleep_quality,start_mood,end_mood
2025-06-01,D001,4.6,"Very little sleep, felt exhausted waking up.",Stressed,Tired
2025-06-01,D002,3.9,"Poor sleep, couldn't get comfortable.",Anxious,Tired
2025-06-01,D003,4.5,"Poor sleep, couldn't get comfortable.",Stressed,Irritable
2025-06-01,D004,4.9,Could barely sleep due to stress and noise.,Anxious,Tired
2025-06-02,D001,5.7,"Restless night, kept waking up from nightmares.",Anxious,Anxious
2025-06-02,D002,5.3,"Poor sleep, couldn't get comfortable.",Anxious,Tired
2025-06-02,D003,6.2,"Restless night, kept waking up from nightmares.",Stressed,Irritable
2025-06-02,D004,3.9,Could barely sleep due to stress and noise.,Stressed,Tired
2025-06-03,D001,5.2,Could barely sleep due to stress and noise.,Stressed,Irritable
2025-06-03,D002,4.6,"Very little sleep, felt exhausted waking up.",Irritable,Anxious
2025-06-03,D003,6.3,"Restless night, kept waking up from nightmares.",Anxious,Anxious
2025-06-03,D004,3.9,"Poor sleep, couldn't get comfortable.",Tired,Tired
2025-06-04,D001,3.8,"Restless night, kept waking up from nightmares.",Stressed,Tired
2025-06-04,D002,4.0,Could barely sleep due to stress and noise.,Anxious,Irritable
2025-06-04,D003,2.8,"Very little sleep, felt exhausted waking up.",Irritable,Irritable
2025-06-04,D004,4.1,"Very little sleep, felt exhausted waking up.",Anxious,Stressed
2025-06-05,D001,3.9,Could barely sleep due to stress and noise.,Anxious,Irritable
2025-06-05,D002,4.6,Could barely sleep due to stress and noise.,Anxious,Irritable
2025-06-05,D003,4.8,"Poor sleep, couldn't get comfortable.",Tired,Stressed
2025-06-05,D004,6.0,"Very little sleep, felt exhausted waking up.",Tired,Tired
2025-06-06,D001,5.3,"Restless night, kept waking up from nightmares.",Anxious,Stressed
2025-06-06,D002,4.0,"Restless night, kept waking up from nightmares.",Anxious,Anxious
2025-06-06,D003,3.8,"Poor sleep, couldn't get comfortable.",Tired,Tired
2025-06-06,D004,4.9,"Very little sleep, felt exhausted waking up.",Irritable,Stressed
2025-06-07,D001,3.4,"Restless night, kept waking up from nightmares.",Irritable,Stressed
2025-06-07,D002,6.0,"Poor sleep, couldn't get comfortable.",Tired,Irritable
2025-06-07,D003,5.4,Could barely sleep due to stress and noise.,Irritable,Tired
2025-06-07,D004,4.1,"Very little sleep, felt exhausted waking up.",Tired,Anxious
2025-06-08,D001,3.1,"Very little sleep, felt exhausted waking up.",Irritable,Irritable
2025-06-08,D002,5.6,"Poor sleep, couldn't get comfortable.",Tired,Irritable
2025-06-08,D003,4.4,Could barely sleep due to stress and noise.,Anxious,Stressed
2025-06-08,D004,5.5,"Very little sleep, felt exhausted waking up.",Anxious,Tired
2025-06-09,D001,3.2,"Very little sleep, felt exhausted waking up.",Tired,Stressed
2025-06-09,D002,4.0,"Very little sleep, felt exhausted waking up.",Irritable,Tired
2025-06-09,D003,4.5,"Very little sleep, felt exhausted waking up.",Anxious,Anxious
2025-06-09,D004,4.5,"Restless night, kept waking up from nightmares.",Anxious,Stressed
2025-06-10,D001,4.1,Could barely sleep due to stress and noise.,Tired,Stressed
2025-06-10,D002,5.0,"Poor sleep, couldn't get comfortable.",Anxious,Stressed
2025-06-10,D003,3.6,"Restless night, kept waking up from nightmares.",Tired,Stressed
2025-06-10,D004,4.4,"Poor sleep, couldn't get comfortable.",Stressed,Stressed
2025-06-11,D001,4.6,"Restless night, kept waking up from nightmares.",Tired,Stressed
2025-06-11,D002,4.9,"Very little sleep, felt exhausted waking up.",Irritable,Irritable
2025-06-11,D003,5.1,"Poor sleep, couldn't get comfortable.",Anxious,Stressed
2025-06-11,D004,3.6,"Very little sleep, felt exhausted waking up.",Tired,Irritable
2025-06-12,D001,3.3,"Very little sleep, felt exhausted waking up.",Anxious,Anxious
2025-06-12,D002,5.5,Could barely sleep due to stress and noise.,Anxious,Tired
2025-06-12,D003,4.8,"Poor sleep, couldn't get comfortable.",Irritable,Irritable
2025-06-12,D004,3.9,Could barely sleep due to stress and noise.,Tired,Anxious
2025-06-13,D001,5.7,"Poor sleep, couldn't get comfortable.",Tired,Tired
2025-06-13,D002,4.6,"Very little sleep, felt exhausted waking up.",Irritable,Tired
2025-06-13,D003,5.4,"Very little sleep, felt exhausted waking up.",Stressed,Anxious
2025-06-13,D004,4.6,"Very little sleep, felt exhausted waking up.",Stressed,Tired
2025-06-14,D001,6.1,"Very little sleep, felt exhausted waking up.",Tired,Anxious
2025-06-14,D002,5.9,Could barely sleep due to stress and noise.,Stressed,Tired
2025-06-14,D003,4.3,"Restless night, kept waking up from nightmares.",Irritable,Irritable
2025-06-14,D004,5.3,"Restless night, kept waking up from nightmares.",Anxious,Anxious
2025-06-15,D001,5.0,"Poor sleep, couldn't get comfortable.",Irritable,Irritable
2025-06-15,D002,5.6,"Poor sleep, couldn't get comfortable.",Tired,Anxious
2025-06-15,D003,3.7,Could barely sleep due to stress and noise.,Anxious,Tired
2025-06-15,D004,5.0,"Very little sleep, felt exhausted waking up.",Anxious,Anxious
2025-06-16,D001,5.3,"Restless night, kept waking up from nightmares.",Anxious,Tired
2025-06-16,D002,3.1,"Restless night, kept waking up from nightmares.",Anxious,Anxious
2025-06-16,D003,3.6,"Very little sleep, felt exhausted waking up.",Stressed,Tired
2025-06-16,D004,2.9,"Poor sleep, couldn't get comfortable.",Irritable,Anxious
2025-06-17,D001,4.3,"Restless night, kept waking up from nightmares.",Tired,Irritable
2025-06-17,D002,5.1,"Poor sleep, couldn't get comfortable.",Tired,Anxious
2025-06-17,D003,5.7,"Poor sleep, couldn't get comfortable.",Stressed,Stressed
2025-06-17,D004,4.6,"Poor sleep, couldn't get comfortable.",Irritable,Stressed
2025-06-18,D001,5.8,"Restless night, kept waking up from nightmares.",Stressed,Stressed
2025-06-18,D002,3.4,Could barely sleep due to stress and noise.,Anxious,Tired
2025-06-18,D003,3.1,Could barely sleep due to stress and noise.,Anxious,Stressed
2025-06-18,D004,4.5,"Very little sleep, felt exhausted waking up.",Stressed,Stressed
2025-06-19,D001,4.8,"Restless night, kept waking up from nightmares.",Stressed,Irritable
2025-06-19,D002,4.5,Could barely sleep due to stress and noise.,Irritable,Anxious
