date,driver_id,hours_on_road,hours_on_break,loads_delivered,minutes_ahead_behind
2025-06-01,D001,7.4,3.1,0,44
2025-06-01,D002,6.5,1.6,0,34
2025-06-01,D003,6.7,2.2,0,11
2025-06-01,D004,7.7,3.1,2,13
2025-06-02,D001,8.1,2.5,1,28
2025-06-02,D002,7.1,1.7,0,11
2025-06-02,D003,6.8,2.1,1,32
2025-06-02,D004,7.3,3.0,3,11
2025-06-03,D001,7.6,2.3,0,24
2025-06-03,D002,4.5,3.5,1,21
2025-06-03,D003,6.3,2.7,1,14
2025-06-03,D004,6.9,3.7,1,22
2025-06-04,D001,6.4,2.9,3,22
2025-06-04,D002,8.4,3.4,2,31
2025-06-04,D003,7.1,3.5,1,31
2025-06-04,D004,8.9,4.1,1,25
2025-06-05,D001,6.4,3.2,1,14
2025-06-05,D002,6.5,2.6,1,18
2025-06-05,D003,4.6,2.7,1,12
2025-06-05,D004,7.0,3.1,2,12
2025-06-06,D001,7.2,1.9,1,15
2025-06-06,D002,6.8,2.9,0,19
2025-06-06,D003,5.4,3.1,0,29
2025-06-06,D004,4.9,3.9,1,33
2025-06-07,D001,6.6,2.9,0,21
2025-06-07,D002,7.5,2.3,1,31
2025-06-07,D003,7.6,3.8,1,11
2025-06-07,D004,5.7,3.4,1,16
2025-06-08,D001,5.5,1.6,1,14
2025-06-08,D002,8.1,2.6,3,35
2025-06-08,D003,7.2,2.7,0,32
2025-06-08,D004,4.8,3.4,1,-4
2025-06-09,D001,6.0,4.3,0,33
2025-06-09,D002,5.8,0.9,0,14
2025-06-09,D003,8.5,4.5,0,45
2025-06-09,D004,5.6,1.9,1,23
2025-06-10,D001,8.2,2.5,1,26
2025-06-10,D002,8.8,3.5,1,28
2025-06-10,D003,6.6,2.5,1,1
2025-06-10,D004,7.1,3.0,0,17
2025-06-11,D001,7.6,3.1,0,11
2025-06-11,D002,6.9,3.7,1,41
2025-06-11,D003,7.0,3.0,0,22
2025-06-11,D004,8.1,3.2,1,29
2025-06-12,D001,7.3,3.2,1,11
2025-06-12,D002,6.4,2.3,1,9
2025-06-12,D003,8.9,2.0,0,5
2025-06-12,D004,7.1,2.4,1,4
2025-06-13,D001,8.3,3.9,2,43
2025-06-13,D002,5.5,4.0,3,31
2025-06-13,D003,7.3,2.8,0,15
2025-06-13,D004,6.6,3.0,1,31
2025-06-14,D001,7.8,3.6,0,6
2025-06-14,D002,6.6,3.0,1,21
2025-06-14,D003,7.7,3.6,2,23
2025-06-14,D004,6.2,3.4,0,36
2025-06-15,D001,5.0,3.0,1,11
2025-06-15,D002,7.8,1.8,0,13
2025-06-15,D003,7.1,3.1,1,4
2025-06-15,D004,5.8,3.0,0,12
2025-06-16,D001,6.2,2.1,2,14
2025-06-16,D002,7.4,3.3,1,21
2025-06-16,D003,9.2,3.0,1,29
2025-06-16,D004,6.4,2.9,4,23
2025-06-17,D001,8.0,3.7,1,19
2025-06-17,D002,7.1,3.1,2,18
2025-06-17,D003,7.3,2.7,1,20
2025-06-17,D004,8.8,2.3,3,42
2025-06-18,D001,7.5,3.7,1,23
2025-06-18,D002,7.6,2.8,1,10
2025-06-18,D003,7.1,3.1,1,29
2025-06-18,D004,6.3,2.2,0,16
2025-06-19,D001,7.4,3.0,1,22
2025-06-19,D002,4.9,3.8,1,18
2025-06-19,D003,6.8,2.9,2,33
2025-06-19,D004,6.6,3.4,1,15
2025-06-20,D001,5.3,2.8,2,27
2025-06-20,D002,6.9,2.6,0,18
2025-06-20,D003,5.6,2.7,0,12
2025-06-20,D004,7.5,3.3,1,21
2025-06-21,D001,4.8,3.1,1,14
2025-06-21,D002,7.3,4.0,0,15
2025-06-21,D003,8.9,2.5,3,17
2025-06-21,D004,8.5,3.0,2,22
2025-06-22,D001,7.2,3.0,1,10
2025-06-22,D002,8.3,3.5,0,14
2025-06-22,D003,5.9,2.4,0,2
2025-06-22,D004,7.5,1.5,3,7
2025-06-23,D001,6.8,2.7,0,10
2025-06-23,D002,6.5,2.7,1,22
2025-06-23,D003,7.5,2.6,1,17
2025-06-23,D004,7.2,4.3,4,20
2025-06-24,D001,6.0,2.2,1,7
2025-06-24,D002,7.2,2.3,0,25
2025-06-24,D003,8.4,3.0,2,11
2025-06-24,D004,7.1,2.0,0,2
2025-06-25,D001,6.9,3.3,0,16
2025-06-25,D002,5.8,2.7,2,22
2025-06-25,D003,8.2,1.8,0,31
2025-06-25,D004,7.5,2.8,0,14
2025-06-26,D001,5.6,4.1,0,32
2025-06-26,D002,7.4,2.2,0,16
2025-06-26,D003,6.2,2.2,2,30
2025-06-26,D004,6.5,2.9,1,5
2025-06-27,D001,8.3,2.1,0,8
2025-06-27,D002,8.1,3.1,0,14
2025-06-27,D003,6.3,2.8,0,14
2025-06-27,D004,6.7,2.2,0,19
2025-06-28,D001,7.3,4.3,2,15
2025-06-28,D002,6.6,2.8,1,25
2025-06-28,D003,7.4,2.9,3,17
2025-06-28,D004,5.3,3.6,2,11
2025-06-29,D001,6.9,3.4,1,21
2025-06-29,D002,7.8,3.6,0,25
2025-06-29,D003,8.2,2.8,0,33
2025-06-29,D004,7.7,3.3,1,23
2025-06-30,D001,8.7,2.2,1,33
2025-06-30,D002,5.6,3.5,1,12
2025-06-30,D003,8.0,2.3,1,19
2025-06-30,D004,7.5,3.8,2,19
2025-07-01,D001,6.0,2.9,0,29
2025-07-01,D002,7.5,2.1,2,21
2025-07-01,D003,5.1,3.7,1,30
2025-07-01,D004,6.5,1.7,2,35
2025-07-02,D001,7.5,3.3,0,7
2025-07-02,D002,6.7,3.3,1,38
2025-07-02,D003,7.6,1.5,2,20
2025-07-02,D004,7.8,2.5,0,23
2025-07-03,D001,9.5,4.0,1,34
2025-07-03,D002,5.5,3.1,1,21
2025-07-03,D003,8.1,4.2,1,0
2025-07-03,D004,7.4,1.9,1,20
2025-07-04,D001,6.9,2.3,1,24
2025-07-04,D002,5.3,3.4,2,18
2025-07-04,D003,4.9,2.7,1,36
2025-07-04,D004,7.4,2.3,2,19
2025-07-05,D001,6.9,1.7,1,12
